BuildingName,Year,Month,TotalUsage
ANA KANTİN (E-SYC31),2022.0,1.0,2408.0
ANA KANTİN (E-SYC31),2022.0,2.0,1773.0
ANA KANTİN (E-SYC31),2022.0,3.0,2030.0
ANA KANTİN (E-SYC31),2022.0,4.0,1710.0
ANA KANTİN (E-SYC31),2022.0,5.0,1883.0
ANA KANTİN (E-SYC31),2022.0,6.0,2514.0
ANA KANTİN (E-SYC31),2022.0,7.0,2103.0
ANA KANTİN (E-SYC31),2022.0,8.0,2003.0
ANA KANTİN (E-SYC31),2022.0,9.0,2646.0
ANA KANTİN (E-SYC31),2022.0,10.0,2194.0
ANA KANTİN (E-SYC31),2022.0,11.0,2461.0
ANA KANTİN (E-SYC31),2022.0,12.0,2958.0
ANA KANTİN (E-SYC31),2023.0,1.0,3045.0
ANA KANTİN (E-SYC31),2023.0,2.0,1999.0
ANA KANTİN (E-SYC31),2023.0,3.0,1498.0
ANA KANTİN (E-SYC31),2023.0,4.0,1206.0
ANA KANTİN (E-SYC31),2023.0,5.0,1645.0
ANA KANTİN (E-SYC31),2023.0,6.0,1864.0
ANA KANTİN (E-SYC31),2023.0,7.0,2390.0
ANA KANTİN (E-SYC31),2023.0,8.0,1416.0
ANA KANTİN (E-SYC31),2023.0,9.0,1861.0
ANA KANTİN (E-SYC31),2023.0,10.0,2314.0
ANA KANTİN (E-SYC31),2023.0,12.0,7396.0
ANA KANTİN (E-SYC31),2024.0,1.0,2700.0
ANA KANTİN (E-SYC31),2024.0,2.0,3933.0
ANA KANTİN (E-SYC31),2024.0,3.0,2028.0
ANA KANTİN (E-SYC31),2024.0,4.0,1800.0
ANA KANTİN (E-SYC31),2024.0,5.0,2496.0
ANA KANTİN (E-SYC31),2024.0,6.0,3140.0
ANA KANTİN (E-SYC31),2024.0,7.0,2174.0
ANA KANTİN (E-SYC31),2024.0,8.0,2309.0
